"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"09/18/2026","Sell","AAPL","APPLE INC","20","$232.10","$0.02","$4,641.98"
"09/18/2026","Buy","AMD","ADVANCED MICRO DEVICES INC","100","$150.00","","-$15,000.00"
"09/18/2026","Assigned","AMD 09/18/2026 150.00 P","PUT ADVANCED MICRO DEVICES INC $150 EXP 09/18/26","1","","",""
"09/18/2026","Bank Interest","","BANK INT 081826-091726 SCHWAB BANK","","","","$1.37"
"09/17/2026","Sell to Close","TSLA 09/25/2026 357.50 P","PUT TESLA INC $357.5 EXP 09/25/26","1","$6.40","$0.66","$639.34"
"09/17/2026","Buy to Open","TSLA 09/25/2026 357.50 P","PUT TESLA INC $357.5 EXP 09/25/26","1","$4.10","$0.66","-$410.66"
"09/17/2026","Journal","","TRANSFER FROM BROKERAGE ACCOUNT","","","","$2,000.00"
"09/16/2026","Buy to Close","NVDA 09/18/2026 180.00 C","CALL NVIDIA CORP $180 EXP 09/18/26","1","$0.35","$0.66","-$35.66"
"09/16/2026","Sell to Close","QQQ 10/16/2026 480.00 C","CALL INVESCO QQQ TRUST $480 EXP 10/16/26","2","$3.10","$1.31","$618.69"
"09/15/2026","Buy to Close","SPY 10/02/2026 640.00 P","PUT SPDR S&P 500 ETF $640 EXP 10/02/26","1","$3.90","$0.66","-$390.66"
"09/15/2026","Sell to Close","SPY 10/02/2026 630.00 P","PUT SPDR S&P 500 ETF $630 EXP 10/02/26","1","$2.20","$0.66","$219.34"
"09/14/2026 as of 09/12/2026","Expired","NVDA 09/12/2026 215.00 P","PUT NVIDIA CORP $215 EXP 09/12/26","2","","",""
"09/14/2026","Sell to Open","AMD 09/18/2026 150.00 P","PUT ADVANCED MICRO DEVICES INC $150 EXP 09/18/26","1","$2.60","$0.66","$259.34"
"09/12/2026","Dividend","MSFT","MICROSOFT CORP","","","","$24.80"
"09/12/2026","Reinvest Shares","MSFT","MICROSOFT CORP","0.0489","$507.20","","-$24.80"
"09/11/2026","Sell to Open","NVDA 09/18/2026 180.00 C","CALL NVIDIA CORP $180 EXP 09/18/26","1","$2.05","$0.66","$204.34"
"09/11/2026","Buy to Open","QQQ 10/16/2026 480.00 C","CALL INVESCO QQQ TRUST $480 EXP 10/16/26","4","$2.20","$2.62","-$882.62"
"09/10/2026","Buy","AAPL","APPLE INC","20","$226.40","","-$4,528.00"
"09/10/2026","MoneyLink Transfer","","Tfr TO BANK OF EXAMPLE","","","","-$500.00"
"09/09/2026","Buy to Open","NVDA 09/12/2026 215.00 P","PUT NVIDIA CORP $215 EXP 09/12/26","2","$1.80","$1.31","-$361.31"
"09/08/2026","Sell to Open","SPY 10/02/2026 640.00 P","PUT SPDR S&P 500 ETF $640 EXP 10/02/26","1","$5.30","$0.66","$529.34"
"09/08/2026","Buy to Open","SPY 10/02/2026 630.00 P","PUT SPDR S&P 500 ETF $630 EXP 10/02/26","1","$3.15","$0.66","-$315.66"
"Transactions Total","","","","","","","-$13,373.86"
